timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1539478799186,107,Login-Open,200,OK,Thread Group-Testes 1-1,text,true,,6080,137,1,1,106,0,44
1539478800122,35,Login-Open,200,OK,Thread Group-Testes 1-2,text,true,,6080,137,2,2,35,0,2
1539478800164,727,Login-Submit,302,Found,Thread Group-Testes 1-2,text,true,,624,450,2,2,727,0,0
1539478801116,399,Login-Open,200,OK,Thread Group-Testes 1-3,text,true,,6080,137,3,3,399,0,2
1539478802099,35,Login-Open,200,OK,Thread Group-Testes 1-4,text,true,,6080,137,4,4,35,0,2
1539478801518,1320,Login-Submit,302,Found,Thread Group-Testes 1-3,text,true,,624,450,4,4,1320,0,0
1539478803100,41,Login-Open,200,OK,Thread Group-Testes 1-5,text,true,,6080,137,5,5,41,0,1
1539478802138,1323,Login-Submit,302,Found,Thread Group-Testes 1-4,text,true,,624,450,5,5,1323,0,0
1539478803145,723,Login-Submit,302,Found,Thread Group-Testes 1-5,text,true,,624,450,5,5,723,0,0
1539478800895,3228,Visualizar-Processos,200,OK,Thread Group-Testes 1-2,text,true,,414993,295,6,6,3226,0,0
1539478804100,44,Login-Open,200,OK,Thread Group-Testes 1-6,text,true,,6080,137,6,6,44,0,1
1539478804148,598,Login-Submit,302,Found,Thread Group-Testes 1-6,text,true,,624,450,6,6,598,0,0
1539478799304,5680,Login-Submit,302,Found,Thread Group-Testes 1-1,text,true,,624,450,6,6,5680,0,0
1539478805117,43,Login-Open,200,OK,Thread Group-Testes 1-7,text,true,,6080,137,7,7,43,0,1
1539478802841,3202,Visualizar-Processos,200,OK,Thread Group-Testes 1-3,text,true,,418243,295,7,7,3199,0,0
1539478806098,35,Login-Open,200,OK,Thread Group-Testes 1-8,text,true,,6080,137,8,8,35,0,1
1539478805163,1372,Login-Submit,302,Found,Thread Group-Testes 1-7,text,true,,623,449,8,8,1372,0,0
1539478803465,3195,Visualizar-Processos,200,OK,Thread Group-Testes 1-4,text,true,,415687,295,8,8,3193,0,0
1539478807115,35,Login-Open,200,OK,Thread Group-Testes 1-9,text,true,,6080,137,9,9,35,0,1
1539478803871,3432,Visualizar-Processos,200,OK,Thread Group-Testes 1-5,text,true,,419208,295,9,9,3430,0,0
1539478804126,3272,Visualizar-Processos,200,OK,Thread Group-Testes 1-2,text,true,,414993,295,9,9,3270,0,1
1539478806137,1390,Login-Submit,302,Found,Thread Group-Testes 1-8,text,true,,623,449,9,9,1390,0,0
1539478808100,40,Login-Open,200,OK,Thread Group-Testes 1-10,text,true,,6080,137,10,10,40,0,0
1539478807153,1313,Login-Submit,302,Found,Thread Group-Testes 1-9,text,true,,624,450,10,10,1313,0,0
1539478804749,3731,Visualizar-Processos,200,OK,Thread Group-Testes 1-6,text,true,,418822,295,10,10,3728,0,0
1539478804987,3857,Visualizar-Processos,200,OK,Thread Group-Testes 1-1,text,true,,435013,295,10,10,3854,0,1
1539478808846,2,Visualizar-Processos,502,Bad Gateway,Thread Group-Testes 1-1,text,false,,330,295,10,10,2,0,1
1539478808142,748,Login-Submit,302,Found,Thread Group-Testes 1-10,text,true,,624,450,10,10,748,0,0
1539478809118,39,Login-Open,200,OK,Thread Group-Testes 1-11,text,true,,6080,137,11,11,38,0,1
1539478806045,3340,Visualizar-Processos,200,OK,Thread Group-Testes 1-3,text,true,,418243,295,11,11,3337,0,0
1539478809158,626,Login-Submit,302,Found,Thread Group-Testes 1-11,text,true,,624,450,11,11,626,0,0
1539478806662,3193,Visualizar-Processos,200,OK,Thread Group-Testes 1-4,text,true,,415687,295,11,11,3191,0,1
1539478806538,3416,Visualizar-Processos,200,OK,Thread Group-Testes 1-7,text,true,,415981,295,11,11,3414,0,0
1539478810118,21,Login-Open,200,OK,Thread Group-Testes 1-12,text,true,,6080,137,12,12,21,0,1
1539478807306,3362,Visualizar-Processos,200,OK,Thread Group-Testes 1-5,text,true,,419208,295,12,12,3360,0,1
1539478807400,3461,Visualizar-Processos,200,OK,Thread Group-Testes 1-2,text,true,,414993,295,12,12,3457,0,1
1539478810140,735,Login-Submit,302,Found,Thread Group-Testes 1-12,text,true,,624,450,12,12,735,0,0
1539478807529,3540,Visualizar-Processos,200,OK,Thread Group-Testes 1-8,text,true,,417266,295,12,12,3537,0,0
1539478811117,23,Login-Open,200,OK,Thread Group-Testes 1-13,text,true,,6080,137,13,13,23,0,2
1539478808468,3655,Visualizar-Processos,200,OK,Thread Group-Testes 1-9,text,true,,416792,295,14,14,3652,0,0
1539478812115,22,Login-Open,200,OK,Thread Group-Testes 1-14,text,true,,6080,137,14,14,22,0,1
1539478808893,3467,Visualizar-Processos,200,OK,Thread Group-Testes 1-10,text,true,,419800,295,14,14,3464,0,0
1539478808482,3942,Visualizar-Processos,200,OK,Thread Group-Testes 1-6,text,true,,418822,295,14,14,3939,0,1
1539478811142,1409,Login-Submit,302,Found,Thread Group-Testes 1-13,text,true,,624,450,14,14,1409,0,0
1539478809385,3494,Visualizar-Processos,200,OK,Thread Group-Testes 1-3,text,true,,418243,295,14,14,3491,0,1
1539478808848,4278,Visualizar-Processos,200,OK,Thread Group-Testes 1-1,text,true,,435013,295,15,15,4275,0,0
1539478813099,38,Login-Open,200,OK,Thread Group-Testes 1-15,text,true,,6080,137,15,15,38,0,16
1539478809856,3394,Visualizar-Processos,200,OK,Thread Group-Testes 1-4,text,true,,415687,295,15,15,3392,0,1
1539478809786,3699,Visualizar-Processos,200,OK,Thread Group-Testes 1-11,text,true,,417121,295,15,15,3697,0,0
1539478812138,1389,Login-Submit,302,Found,Thread Group-Testes 1-14,text,true,,624,450,15,15,1389,0,0
1539478809955,3575,Visualizar-Processos,200,OK,Thread Group-Testes 1-7,text,true,,415981,295,15,15,3537,0,1
1539478814117,38,Login-Open,200,OK,Thread Group-Testes 1-16,text,true,,6080,137,16,16,38,0,1
1539478810670,3584,Visualizar-Processos,200,OK,Thread Group-Testes 1-5,text,true,,419208,295,16,16,3581,0,1
